"Label (Grouping)","Carroll County, Maryland!!Total!!Estimate","Carroll County, Maryland!!Percent!!Estimate","Carroll County, Maryland!!Male!!Estimate","Carroll County, Maryland!!Percent Male!!Estimate","Carroll County, Maryland!!Female!!Estimate","Carroll County, Maryland!!Percent Female!!Estimate"
"        Bachelor's degree or higher","41,892","38.5%","19,898","37.4%","21,994","39.6%"
"    White alone, not Hispanic or Latino","107,409","(X)","52,519","(X)","54,890","(X)"
"        High school graduate or higher","101,935","94.9%","49,642","94.5%","52,293","95.3%"
"        Bachelor's degree or higher","41,356","38.5%","19,612","37.3%","21,744","39.6%"
"    Black alone","4,246","(X)","2,396","(X)","1,850","(X)"
"        High school graduate or higher","3,830","90.2%","2,048","85.5%","1,782","96.3%"
"        Bachelor's degree or higher","1,386","32.6%","662","27.6%","724","39.1%"
"    American Indian or Alaska Native alone","236","(X)","120","(X)","116","(X)"
"        High school graduate or higher","222","94.1%","111","92.5%","111","95.7%"
"        Bachelor's degree or higher","85","36.0%","75","62.5%","10","8.6%"
"    Asian alone","2,609","(X)","1,181","(X)","1,428","(X)"
"        High school graduate or higher","2,243","86.0%","965","81.7%","1,278","89.5%"
"        Bachelor's degree or higher","1,509","57.8%","699","59.2%","810","56.7%"
"    Native Hawaiian and Other Pacific Islander alone","34","(X)","20","(X)","14","(X)"
"        High school graduate or higher","14","41.2%","0","0.0%","14","100.0%"
"        Bachelor's degree or higher","14","41.2%","0","0.0%","14","100.0%"
"    Some other race alone","1,451","(X)","703","(X)","748","(X)"
"        High school graduate or higher","1,248","86.0%","575","81.8%","673","90.0%"
"        Bachelor's degree or higher","430","29.6%","196","27.9%","234","31.3%"
"    Two or more races","3,162","(X)","1,610","(X)","1,552","(X)"
"        High school graduate or higher","2,786","88.1%","1,427","88.6%","1,359","87.6%"
"        Bachelor's degree or higher","1,406","44.5%","749","46.5%","657","42.3%"
"    Hispanic or Latino Origin","3,875","(X)","2,099","(X)","1,776","(X)"
"        High school graduate or higher","3,191","82.3%","1,665","79.3%","1,526","85.9%"
"        Bachelor's degree or higher","1,267","32.7%","716","34.1%","551","31.0%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","",""
"    Less than high school graduate","(X)","21.5%","(X)","19.3%","(X)","24.1%"
"    High school graduate (includes equivalency)","(X)","6.8%","(X)","5.6%","(X)","8.2%"
"    Some college or associate's degree","(X)","2.9%","(X)","2.4%","(X)","3.4%"
"    Bachelor's degree or higher","(X)","2.0%","(X)","1.8%","(X)","2.2%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Population 25 years and over with earnings","66,659","(X)","77,209","(X)","54,466","(X)"
"        Less than high school graduate","32,240","(X)","35,290","(X)","24,095","(X)"
"        High school graduate (includes equivalency)","47,999","(X)","59,140","(X)","33,327","(X)"
"        Some college or associate's degree","59,385","(X)","72,739","(X)","44,913","(X)"
"        Bachelor's degree","80,316","(X)","99,944","(X)","63,844","(X)"
"        Graduate or professional degree","94,150","(X)","114,355","(X)","81,128","(X)"
